Term ID,Term Name,Term Slug,Description,Parent ID,Parent Name,Parent Slug,Count
7656,Transformación Digital,transformacion-digital,,7646,Tecnología,tecnologia,
7657,Soporte,soporte,,,,,
7658,Centro de Ayuda,centro-de-ayuda,,7657,Soporte,soporte,
7659,Contacto,contacto,,,,,
7660,Información de contacto,informacion-de-contacto,,7659,Contacto,contacto,
7661,Servicios,servicios,,,,,
7662,Precios,precios,,7661,Servicios,servicios,
7663,Empresa,empresa,,,,,
7664,Sobre Nosotros,sobre-nosotros,,7663,Empresa,empresa,
7665,Inicio,inicio,,,,,
7666,Página principal,pagina-principal,,7665,Inicio,inicio,
7667,Planes y Precios,planes-y-precios,,7661,Servicios,servicios,
7668,Asociación,asociacion,,,,,
7669,Programa de socios,programa-de-socios,,7668,Asociación,asociacion,
7670,Legal,legal,,,,,
7671,Política de Privacidad,politica-de-privacidad,,7670,Legal,legal,
7672,Desarrollo Web y ERP,desarrollo-web-y-erp,,7646,Tecnología,tecnologia,
7673,Transformación de Negocios,transformacion-de-negocios,,7652,Negocios,negocios,
7674,Métricas,metricas,,,,,
7675,Métricas de Éxito,metricas-de-exito,,7674,Métricas,metricas,
7676,Soluciones Avanzadas,soluciones-avanzadas,,7646,Tecnología,tecnologia,
7677,ERP y E-commerce,erp-y-e-commerce,,7646,Tecnología,tecnologia,
7678,Soluciones ERP,soluciones-erp,,7646,Tecnología,tecnologia,
7679,Especificaciones Técnicas ERP,especificaciones-tecnicas-erp,,7646,Tecnología,tecnologia,
7680,Soluciones por Industria,soluciones-por-industria,,7661,Servicios,servicios,
7681,Testimonios,testimonios,,,,,
7682,Testimonios de Clientes,testimonios-de-clientes,,7681,Testimonios,testimonios,
7683,Boletín,boletin,,7650,Marketing,marketing,
7684,Preguntas Frecuentes,preguntas-frecuentes,,7657,Soporte,soporte,
7685,Programa de Asociación,programa-de-asociacion,,7668,Asociación,asociacion,
7686,Innovación,innovacion,,,,,
7687,Impulso de Negocios,impulso-de-negocios,,7686,Innovación,innovacion,
7688,Crecimiento Empresarial,crecimiento-empresarial,,7652,Negocios,negocios,
7689,Impacto,impacto,,7663,Empresa,empresa,
7690,Comparativa de Servicios,comparativa-de-servicios,,7661,Servicios,servicios,
7691,ERP Personalizado,erp-personalizado,,7646,Tecnología,tecnologia,
7692,Desarrollo Web y E-Commerce,desarrollo-web-y-e-commerce,,7646,Tecnología,tecnologia,
7693,Emprendimiento,emprendimiento,,,,,
7694,Éxito de Emprendedores,exito-de-emprendedores,,7693,Emprendimiento,emprendimiento,
7695,Portal de Soporte,portal-de-soporte,,7657,Soporte,soporte,
7696,Empleo,empleo,,,,,
7697,Publicar Oferta,publicar-oferta,,7696,Empleo,empleo,
7698,Panel de Control,panel-de-control,,7696,Empleo,empleo,
7699,Ofertas de Empleo,ofertas-de-empleo,,7696,Empleo,empleo,
7700,Soluciones Innovadoras,soluciones-innovadoras,,7646,Tecnología,tecnologia,
7701,Información de la empresa,informacion-de-la-empresa,,7659,Contacto,contacto,
7702,Nombre de la empresa,nombre-de-la-empresa,,7663,Empresa,empresa,
7703,Hero,hero,,,,,
7704,Slider,slider,,,,,
7705,ERP,erp-2,,,,,
7706,CRM,crm,,,,,
7707,Desarrollo Web,desarrollo-web-2,,,,,
7713,Información de la empresa,informacion-de-la-empresa-2,,,,,
7714,Formulario,formulario,,,,,
7715,Mapa,mapa,,,,,
7719,Cultura empresarial,cultura-empresarial,,,,,
7720,Metodología,metodologia,,,,,
7721,Llamado a la acción,llamado-a-la-accion,,,,,
7724,Introducción,introduccion,,,,,
7725,Estadísticas,estadisticas,,,,,
7726,Historia,historia,,,,,
7727,Galería,galeria,,,,,
7728,Planes y precios,planes-y-precios-2,,,,,
7729,características de productos,caracteristicas-de-productos,,,,,
7730,preguntas frecuentes,preguntas-frecuentes-2,,,,,
7734,partnerships,partnerships,,,,,
7735,beneficios de alianzas,beneficios-de-alianzas,,,,,
7738,especificaciones técnicas,especificaciones-tecnicas,,,,,
7739,automatización,automatizacion,,,,,
7740,analíticas,analiticas,,,,,
7744,Llamada a la acción,llamada-a-la-accion,,,,,
7745,transformación de negocios,transformacion-de-negocios-2,,,,,
7749,Métricas de éxito,metricas-de-exito-2,,,,,
7750,estadísticas de clientes,estadisticas-de-clientes,,,,,
7758,Cursos en línea,cursos-en-linea-2,,,,,
7759,educación empresarial,educacion-empresarial,,,,,
7760,testimonios de estudiantes,testimonios-de-estudiantes,,,,,
7764,Servicios empresariales,servicios-empresariales,,,,,
7765,e-commerce,e-commerce,,,,,
7766,marketing digital,marketing-digital-2,,,,,
7767,casos de éxito,casos-de-exito,,,,,
7772,implementación,implementacion,,,,,
7773,personalización,personalizacion,,,,,
7774,análisis,analisis,,,,,
7775,escalabilidad,escalabilidad,,,,,
7782,diseño,diseno,,,,,
7783,aplicaciones móviles,aplicaciones-moviles,,,,,
7786,consultoría,consultoria,,,,,
7787,branding,branding,,,,,
7788,desarrollo,desarrollo,,,,,
7792,consultoría empresarial,consultoria-empresarial-2,,,,,
7793,estrategia,estrategia,,,,,
7794,optimización,optimizacion,,,,,
7795,gestión del cambio,gestion-del-cambio,,,,,
7796,formación,formacion,,,,,
7802,Proyectos,proyectos,,,,,
7808,Ayuda,ayuda,,,,,
7820,Planes,planes,,,,,
7821,Precios,precios-2,,,,,
7822,Características,caracteristicas,,,,,
7827,Cultura,cultura,,,,,
7828,Valores,valores,,,,,
7841,Asociaciones,asociaciones,,,,,
7842,Beneficios,beneficios,,,,,
7845,Servicios principales,servicios-principales,,,,,
7846,Formulario de contacto,formulario-de-contacto,,,,,
7848,Características del producto,caracteristicas-del-producto,,,,,
7853,Especificaciones,especificaciones,,,,,
7854,Características ERP,caracteristicas-erp,,,,,
7858,Soluciones por Industria,soluciones-por-industria-2,,,,,
7859,FAQ,faq,,,,,
7860,Blog,blog,,,,,
7868,Boletín,boletin-2,,,,,
7869,Suscripción,suscripcion,,,,,
7870,Comunidad,comunidad,,,,,
7878,Servicios de asociación,servicios-de-asociacion,,,,,
7879,colaboración,colaboracion,,,,,
7880,crecimiento empresarial,crecimiento-empresarial-2,,,,,
7884,crecimiento,crecimiento,,,,,
7888,Servicios de desarrollo de software,servicios-de-desarrollo-de-software,,,,,
7896,No hay contenido para analizar,no-hay-contenido-para-analizar,,,,,
7899,Servicios tecnológicos,servicios-tecnologicos,,,,,
7900,soluciones empresariales,soluciones-empresariales,,,,,
7901,testimonios de clientes,testimonios-de-clientes-2,,,,,
7904,eficiencia,eficiencia,,,,,
7905,procesos de negocio,procesos-de-negocio,,,,,
7907,experiencia del cliente,experiencia-del-cliente,,,,,
7908,portafolio,portafolio,,,,,
7909,socios,socios,,,,,
7910,ventajas,ventajas,,,,,
7911,noticias,noticias,,,,,
7915,liderazgo,liderazgo,,,,,
7916,trabajo en equipo,trabajo-en-equipo,,,,,
7919,soluciones tecnológicas,soluciones-tecnologicas,,,,,
7920,inteligencia de negocios,inteligencia-de-negocios,,,,,
7921,clientes,clientes,,,,,
7922,planes de precios,planes-de-precios,,,,,
7923,Política de privacidad,politica-de-privacidad-2,,,,,
7924,cookies,cookies,,,,,
7925,datos personales,datos-personales,,,,,
7926,derechos del usuario,derechos-del-usuario,,,,,
7927,Servicios de Viaweb,servicios-de-viaweb,,,,,
7928,Servicios de desarrollo web,servicios-de-desarrollo-web,,,,,
7929,Soluciones escalables,soluciones-escalables,,,,,
7930,ERP personalizado,erp-personalizado-2,,,,,
7931,Desarrollo web e-commerce,desarrollo-web-e-commerce,,,,,
7932,Llamadas a la acción,llamadas-a-la-accion,,,,,
7933,Servicios ofrecidos,servicios-ofrecidos,,,,,
7934,Suscripción a boletín,suscripcion-a-boletin,,,,,
7935,Newsletter,newsletter,,,,,
7936,CTA,cta,,,,,
7937,Comparativa de servicios,comparativa-de-servicios-2,,,,,
7938,Resultados de búsqueda,resultados-de-busqueda,,,,,
7939,Sección vacía,seccion-vacia,,,,,
7940,integraciones,integraciones,,,,,
7941,redes sociales,redes-sociales,,,,,
7942,Portal de soporte al cliente,portal-de-soporte-al-cliente,,,,,
7943,Formulario de envío de trabajos,formulario-de-envio-de-trabajos,,,,,
7944,Panel de control de trabajos,panel-de-control-de-trabajos,,,,,
7945,Listado de trabajos,listado-de-trabajos,,,,,
7946,Sección de héroe,seccion-de-heroe,,,,,
7947,Características principales,caracteristicas-principales,,,,,
7948,Slider de héroe,slider-de-heroe,,,,,
7949,Academia en línea,academia-en-linea,,,,,
7950,Cursos de negocios,cursos-de-negocios,,,,,
7951,HTML,html,,,,,
7952,bloque vacío,bloque-vacio,,,,,
