ID,Title,Content,Excerpt,Date,Post Type,Permalink,Descripción,Categoría,Subcategoría
3920,Servicios de Viaweb 2,,,2024-10-02 1:12:52,wp_navigation,https://web.viaweb.net.ar/2024/10/servicios-de-viaweb-2/,,Servicios,
3921,Servicios de Viaweb 3,,,2024-10-02 1:12:52,wp_navigation,https://web.viaweb.net.ar/2024/10/servicios-de-viaweb-3/,,Servicios,
3922,Detalle de Servicios Adicionales,,,2024-10-02 1:12:52,wp_navigation,https://web.viaweb.net.ar/2024/10/detalle-de-servicios-adicionales/,,Servicios,Servicios Adicionales
3923,Categorías de Servicios,,,2024-10-02 1:12:52,wp_navigation,https://web.viaweb.net.ar/2024/10/categorias-de-servicios/,,Servicios,Categorías
3924,Servicios Destacados por Industria,,,2024-10-02 1:12:52,wp_navigation,https://web.viaweb.net.ar/2024/10/servicios-destacados-por-industria/,,Servicios,Por Industria
3925,Servicios Específicos por Rubro,,,2024-10-02 1:12:52,wp_navigation,https://web.viaweb.net.ar/2024/10/servicios-especificos-por-rubro/,,Servicios,Por Rubro
3926,Software de Gestión,,,2024-10-02 1:12:52,wp_navigation,https://web.viaweb.net.ar/2024/10/software-de-gestion/,,Servicios,Software de Gestión
3927,E-commerce,,,2024-10-02 1:12:52,wp_navigation,https://web.viaweb.net.ar/2024/10/e-commerce/,,Servicios,E-commerce
3928,Software de gestión para minoristas,,,2024-10-02 1:12:52,wp_navigation,https://web.viaweb.net.ar/2024/10/software-de-gestion-para-minoristas/,,Servicios,Software para Minoristas
3929,Software de gestión ERP,,,2024-10-02 1:12:52,wp_navigation,https://web.viaweb.net.ar/2024/10/software-de-gestion-erp/,,Servicios,Software ERP
3930,Software de gestión para pymes,,,2024-10-02 1:12:52,wp_navigation,https://web.viaweb.net.ar/2024/10/software-de-gestion-para-pymes/,,Servicios,Software para Pymes
3931,Software-programa-de-gestion para empresas de servicios,,,2024-10-02 1:12:52,wp_navigation,https://web.viaweb.net.ar/2024/10/software-programa-de-gestion-para-empresas-de-servicios/,,Servicios,Software para Empresas de Servicios
3932,Software-programa-de-gestion para punto de venta comercios,,,2024-10-02 1:12:52,wp_navigation,https://web.viaweb.net.ar/2024/10/software-programa-de-gestion-para-punto-de-venta-comercios/,,Servicios,Software para Punto de Venta
3933,Software y sistemas de gestión para agroindustria,,,2024-10-02 1:12:52,wp_navigation,https://web.viaweb.net.ar/2024/10/software-y-sistemas-de-gestion-para-agroindustria/,,Servicios,Software para Agroindustria
3934,Software y sistemas de gestión para distribuidores y mayoristas,,,2024-10-02 1:12:52,wp_navigation,https://web.viaweb.net.ar/2024/10/software-y-sistemas-de-gestion-para-distribuidores-y-mayoristas/,,Servicios,Software para Distribuidores y Mayoristas
3935,Solución Flexxus CRM,,,2024-10-02 1:12:52,wp_navigation,https://web.viaweb.net.ar/2024/10/solucion-flexxus-crm/,,Servicios,CRM
3936,Solución para PYMEs,,,2024-10-02 1:12:52,wp_navigation,https://web.viaweb.net.ar/2024/10/solucion-para-pymes/,,Servicios,Soluciones para PYMEs
3937,Te presentamos Flexxus 4.0,,,2024-10-02 1:12:52,wp_navigation,https://web.viaweb.net.ar/2024/10/te-presentamos-flexxus-4-0/,,Servicios,Flexxus 4.0
8482,Navigation,<!-- wp:page-list /-->,,2024-02-02 14:39:49,wp_navigation,https://web.viaweb.net.ar/2024/02/navigation/,Elemento de lista de páginas de WordPress,Navegación,
8614,Navigationok,<!-- wp:page-list /-->,,2023-11-09 10:00:01,wp_navigation,https://web.viaweb.net.ar/2023/11/navigation-2/,Elemento de lista de páginas de WordPress,Navegación,
8755,Navigation,<!-- wp:page-list /-->,,2023-11-09 10:00:01,wp_navigation,https://web.viaweb.net.ar/2023/11/navigation-3/,Elemento de lista de páginas de WordPress,Navegación,
9073,Navigation,<!-- wp:page-list /-->,,2023-11-09 10:00:01,wp_navigation,https://web.viaweb.net.ar/2023/11/navigation-4/,Elemento de lista de páginas de WordPress,Navegación,
9106,Navigation,<!-- wp:page-list /-->,,2024-10-20 11:01:16,wp_navigation,https://web.viaweb.net.ar/2024/10/navigation-5/,Elemento de lista de páginas de WordPress,Navegación,
9191,MAIN MENU,"<!-- wp:navigation-link {""label"":""Home OK"",""type"":""page"",""id"":9054,""url"":""https://web.viaweb.net.ar/?page_id=9054"",""kind"":""post-type"",""isTopLevelLink"":true} /-->

<!-- wp:navigation-link {""label"":""Inicio"",""type"":""page"",""id"":9112,""url"":""https://web.viaweb.net.ar/?page_id=9112"",""kind"":""post-type"",""isTopLevelLink"":true} /-->

<!-- wp:navigation-link {""label"":""Novedades"",""type"":""page"",""id"":2146,""url"":""https://web.viaweb.net.ar/?page_id=2146"",""kind"":""post-type"",""isTopLevelLink"":true} /-->

<!-- wp:navigation-link {""label"":""Acerca de"",""type"":""page"",""id"":9113,""url"":""https://web.viaweb.net.ar/?page_id=9113"",""kind"":""post-type"",""isTopLevelLink"":true} /-->

<!-- wp:navigation-link {""label"":""Features"",""type"":""custom"",""url"":""/#features"",""kind"":""custom"",""isTopLevelLink"":true} /-->

<!-- wp:navigation-link {""label"":""Insight"",""type"":""custom"",""url"":""/#insight"",""kind"":""custom"",""isTopLevelLink"":true} /-->

<!-- wp:navigation-link {""label"":""Servicios"",""type"":""page"",""id"":9114,""url"":""https://web.viaweb.net.ar/?page_id=9114"",""kind"":""post-type"",""isTopLevelLink"":true} /-->

<!-- wp:navigation-link {""label"":""About"",""type"":""custom"",""url"":""/#about"",""kind"":""custom"",""isTopLevelLink"":true} /-->

<!-- wp:navigation-link {""label"":""Blog"",""type"":""page"",""id"":9115,""url"":""https://web.viaweb.net.ar/?page_id=9115"",""kind"":""post-type"",""isTopLevelLink"":true} /-->

<!-- wp:navigation-link {""label"":""Features"",""type"":""custom"",""url"":""/#features"",""kind"":""custom"",""isTopLevelLink"":true} /-->

<!-- wp:navigation-link {""label"":""Showreel"",""type"":""custom"",""url"":""/#showreel"",""kind"":""custom"",""isTopLevelLink"":true} /-->

<!-- wp:navigation-link {""label"":""Contacto"",""type"":""page"",""id"":9116,""url"":""https://web.viaweb.net.ar/?page_id=9116"",""kind"":""post-type"",""isTopLevelLink"":true} /-->

<!-- wp:navigation-link {""label"":""Features"",""type"":""custom"",""url"":""/#features"",""kind"":""custom"",""isTopLevelLink"":true} /-->

<!-- wp:navigation-link {""label"":""Services"",""type"":""custom"",""url"":""/#services"",""kind"":""custom"",""isTopLevelLink"":true} /-->

<!-- wp:navigation-link {""label"":""Features"",""type"":""custom"",""url"":""/#features"",""kind"":""custom"",""isTopLevelLink"":true} /-->

<!-- wp:navigation-link {""label"":""Gallery"",""type"":""custom"",""url"":""/#gallery"",""kind"":""custom"",""isTopLevelLink"":true} /-->

<!-- wp:navigation-link {""label"":""Team"",""type"":""custom"",""url"":""/#team"",""kind"":""custom"",""isTopLevelLink"":true} /-->

<!-- wp:navigation-link {""label"":""E-commerce"",""type"":""page"",""id"":2192,""url"":""https://web.viaweb.net.ar/?page_id=2192"",""kind"":""post-type"",""isTopLevelLink"":true} /-->

<!-- wp:navigation-link {""label"":""Contact"",""type"":""custom"",""url"":""/#contact"",""kind"":""custom"",""isTopLevelLink"":true} /-->

<!-- wp:navigation-link {""label"":""Business Plans"",""type"":""custom"",""url"":""/#businessplans"",""kind"":""custom"",""isTopLevelLink"":true} /-->

<!-- wp:navigation-link {""label"":""News"",""type"":""page"",""id"":323,""url"":""https://web.viaweb.net.ar/?page_id=323"",""kind"":""post-type"",""isTopLevelLink"":true} /-->

<!-- wp:navigation-link {""label"":""Analytics"",""type"":""custom"",""url"":""/#analytics"",""kind"":""custom"",""isTopLevelLink"":true} /-->

<!-- wp:navigation-link {""label"":""Shop"",""type"":""page"",""id"":9069,""url"":""https://web.viaweb.net.ar/?page_id=9069"",""kind"":""post-type"",""isTopLevelLink"":true} /-->

<!-- wp:navigation-link {""label"":""About"",""type"":""custom"",""url"":""/#about"",""kind"":""custom"",""isTopLevelLink"":true} /-->

<!-- wp:navigation-link {""label"":""About"",""type"":""custom"",""url"":""/#about"",""kind"":""custom"",""isTopLevelLink"":true} /-->

<!-- wp:navigation-link {""label"":""ERP/CRM"",""type"":""page"",""id"":2190,""url"":""https://web.viaweb.net.ar/erp-crm/"",""kind"":""post-type"",""isTopLevelLink"":true} /-->

<!-- wp:navigation-link {""label"":""Features"",""type"":""custom"",""url"":""/#features"",""kind"":""custom"",""isTopLevelLink"":true} /-->

<!-- wp:navigation-link {""label"":""Benefits"",""type"":""custom"",""url"":""/#benefits"",""kind"":""custom"",""isTopLevelLink"":true} /-->

<!-- wp:navigation-link {""label"":""Showreel"",""type"":""custom"",""url"":""/#showreel"",""kind"":""custom"",""isTopLevelLink"":true} /-->

<!-- wp:navigation-link {""label"":""Showreel"",""type"":""custom"",""url"":""/#showreel"",""kind"":""custom"",""isTopLevelLink"":true} /-->

<!-- wp:navigation-link {""label"":""Services"",""type"":""custom"",""url"":""/#services"",""kind"":""custom"",""isTopLevelLink"":true} /-->

<!-- wp:navigation-link {""label"":""Services"",""type"":""custom"",""url"":""/#services"",""kind"":""custom"",""isTopLevelLink"":true} /-->

<!-- wp:navigation-submenu {""label"":""Software de Gestión ERP"",""type"":""page"",""id"":1659,""url"":""https://web.viaweb.net.ar/red-de-partners-3/quiero-ser-partner-2/solicitar-demo-2/contacto_integrador/contactarme/solucion-para-pymes/software-de-gestion-erp-3/"",""kind"":""post-type"",""isTopLevelItem"":true} -->
<!-- wp:navigation-link {""label"":""Software de Gestión para PYMEs"",""type"":""page"",""id"":1755,""url"":""https://web.viaweb.net.ar/red-de-partners-3/quiero-ser-partner-2/solicitar-demo-2/contacto_integrador/contactarme/solucion-para-pymes/software-de-gestion-para-pymes-2/"",""kind"":""post-type"",""isTopLevelLink"":false} /-->

<!-- wp:navigation-link {""label"":""Gestión para Empresas de Servicios"",""type"":""page"",""id"":1743,""url"":""https://web.viaweb.net.ar/red-de-partners-3/quiero-ser-partner-2/solicitar-demo-2/contacto_integrador/contactarme/solucion-para-pymes/software-de-gestion-erp-3/software-programa-de-gestion-para-empresas-de-servicios-3/"",""kind"":""post-type"",""isTopLevelLink"":false} /-->

<!-- wp:navigation-link {""label"":""Punto de Venta para Comercios"",""type"":""page"",""id"":1740,""url"":""https://web.viaweb.net.ar/red-de-partners-3/quiero-ser-partner-2/solicitar-demo-2/contacto_integrador/contactarme/solucion-para-pymes/software-de-gestion-erp-3/software-programa-de-gestion-para-punto-de-venta-comercios-2/"",""kind"":""post-type"",""isTopLevelLink"":false} /-->

<!-- wp:navigation-link {""label"":""Software para Agroindustria"",""type"":""page"",""id"":1737,""url"":""https://web.viaweb.net.ar/red-de-partners-3/quiero-ser-partner-2/solicitar-demo-2/contacto_integrador/contactarme/solucion-para-pymes/software-y-sistemas-de-gestion-para-agroindustria-2/"",""kind"":""post-type"",""isTopLevelLink"":false} /-->

<!-- wp:navigation-link {""label"":""Software para Distribuidores y Mayoristas"",""type"":""page"",""id"":1734,""url"":""https://web.viaweb.net.ar/?page_id=1734"",""kind"":""post-type"",""isTopLevelLink"":false} /-->

<!-- wp:navigation-link {""label"":""Software de Gestión para Minoristas"",""type"":""page"",""id"":1504,""url"":""https://web.viaweb.net.ar/?page_id=1504"",""kind"":""post-type"",""isTopLevelLink"":false} /-->
<!-- /wp:navigation-submenu -->

<!-- wp:navigation-link {""label"":""Gallery"",""type"":""custom"",""url"":""/#gallery"",""kind"":""custom"",""isTopLevelLink"":true} /-->

<!-- wp:navigation-link {""label"":""Team"",""type"":""custom"",""url"":""/#team"",""kind"":""custom"",""isTopLevelLink"":true} /-->

<!-- wp:navigation-link {""label"":""Contact"",""type"":""custom"",""url"":""/#contact"",""kind"":""custom"",""isTopLevelLink"":true} /-->

<!-- wp:navigation-submenu {""label"":""Integraciones"",""type"":""custom"",""url"":""#"",""kind"":""custom"",""isTopLevelItem"":true} -->
<!-- wp:navigation-link {""label"":""integraciones-woocommerce-duplicado-para-grow2on"",""type"":""page"",""id"":1599,""url"":""https://web.viaweb.net.ar/red-de-partners-3/contacto-2/integraciones-woocommerce-duplicado-para-grow2on-2/"",""kind"":""post-type"",""isTopLevelLink"":false} /-->

<!-- wp:navigation-link {""label"":""Integración Flexxus Mercado Libre"",""type"":""page"",""id"":1602,""url"":""https://web.viaweb.net.ar/red-de-partners-3/quiero-ser-partner-2/solicitar-demo-2/contacto_integrador/contactarme/solucion-para-pymes/integraciones-woocommerce-2/integracion-flexxus-mercado-libre-2/"",""kind"":""post-type"",""isTopLevelLink"":false} /-->

<!-- wp:navigation-link {""label"":""integracion-flexxus-mercado-libre-duplicado-para-grow2on"",""type"":""page"",""id"":1680,""url"":""https://web.viaweb.net.ar/red-de-partners-3/quiero-ser-partner-2/solicitar-demo-2/contacto_integrador/contactarme/solucion-para-pymes/red-de-partners-2-2/integracion-flexxus-mercado-libre-duplicado-para-grow2on-2/"",""kind"":""post-type"",""isTopLevelLink"":false} /-->

<!-- wp:navigation-link {""label"":""Integraciones WooCommerce"",""type"":""page"",""id"":1596,""url"":""https://web.viaweb.net.ar/red-de-partners-3/quiero-ser-partner-2/solicitar-demo-2/contacto_integrador/contactarme/solucion-para-pymes/integraciones-woocommerce-2/"",""kind"":""post-type"",""isTopLevelLink"":false} /-->
<!-- /wp:navigation-submenu -->

<!-- wp:navigation-submenu {""label"":""Recursos"",""type"":""custom"",""url"":""#"",""kind"":""custom"",""isTopLevelItem"":true} -->
<!-- wp:navigation-link {""label"":""Blog"",""type"":""page"",""id"":1523,""url"":""https://web.viaweb.net.ar/?page_id=1523"",""kind"":""post-type"",""isTopLevelLink"":false} /-->

<!-- wp:navigation-submenu {""label"":""Cursos"",""type"":""page"",""id"":1548,""url"":""https://web.viaweb.net.ar/?page_id=1548"",""kind"":""post-type"",""isTopLevelItem"":false} -->
<!-- wp:navigation-link {""label"":""Registro de Instructores"",""type"":""page"",""id"":1552,""url"":""https://web.viaweb.net.ar/?page_id=1552"",""kind"":""post-type"",""isTopLevelLink"":false} /-->

<!-- wp:navigation-link {""label"":""Lista de Instructores"",""type"":""page"",""id"":1553,""url"":""https://web.viaweb.net.ar/?page_id=1553"",""kind"":""post-type"",""isTopLevelLink"":false} /-->
<!-- /wp:navigation-submenu -->

<!-- wp:navigation-link {""label"":""FAQ Ult"",""type"":""page"",""id"":2223,""url"":""https://web.viaweb.net.ar/?page_id=2223"",""kind"":""post-type"",""isTopLevelLink"":false} /-->
<!-- /wp:navigation-submenu -->

<!-- wp:navigation-link {""label"":""Gallery"",""type"":""custom"",""url"":""/#gallery"",""kind"":""custom"",""isTopLevelLink"":true} /-->

<!-- wp:navigation-submenu {""label"":""Webinars y Videos"",""type"":""custom"",""url"":""#"",""kind"":""custom"",""isTopLevelItem"":true} -->
<!-- wp:navigation-link {""label"":""Videos Educativos"",""type"":""page"",""id"":203,""url"":""https://web.viaweb.net.ar/red-de-partners-3/quiero-ser-partner-2/solicitar-demo-2/contacto_integrador/gracias-por-contactarnos-2/webinars/videos/"",""kind"":""post-type"",""isTopLevelLink"":false} /-->

<!-- wp:navigation-link {""label"":""Webinars y Eventos"",""type"":""page"",""id"":201,""url"":""https://web.viaweb.net.ar/red-de-partners-3/quiero-ser-partner-2/solicitar-demo-2/contacto_integrador/gracias-por-contactarnos-2/webinars/"",""kind"":""post-type"",""isTopLevelLink"":false} /-->
<!-- /wp:navigation-submenu -->

<!-- wp:navigation-link {""label"":""Team"",""type"":""custom"",""url"":""/#team"",""kind"":""custom"",""isTopLevelLink"":true} /-->

<!-- wp:navigation-link {""label"":""Contact"",""type"":""custom"",""url"":""/#contact"",""kind"":""custom"",""isTopLevelLink"":true} /-->

<!-- wp:navigation-link {""label"":""Contactarme"",""type"":""page"",""id"":1611,""url"":""https://web.viaweb.net.ar/red-de-partners-3/quiero-ser-partner-2/solicitar-demo-2/contacto_integrador/contactarme/"",""kind"":""post-type"",""isTopLevelLink"":true} /-->

<!-- wp:navigation-submenu {""label"":""Contacto"",""type"":""page"",""id"":1822,""url"":""https://web.viaweb.net.ar/red-de-partners-3/contacto-2/"",""kind"":""post-type"",""isTopLevelItem"":true} -->
<!-- wp:navigation-link {""label"":""Contacto Integrador"",""type"":""page"",""id"":1825,""url"":""https://web.viaweb.net.ar/?page_id=1825"",""kind"":""post-type"",""isTopLevelLink"":false} /-->

<!-- wp:navigation-link {""label"":""Contacto Integrador"",""type"":""page"",""id"":1900,""url"":""https://web.viaweb.net.ar/?page_id=1900"",""kind"":""post-type"",""isTopLevelLink"":false} /-->

<!-- wp:navigation-link {""label"":""Contacto Integrador"",""type"":""page"",""id"":681,""url"":""https://web.viaweb.net.ar/?page_id=681"",""kind"":""post-type"",""isTopLevelLink"":false} /-->

<!-- wp:navigation-link {""label"":""Contactarme"",""type"":""page"",""id"":1611,""url"":""https://web.viaweb.net.ar/red-de-partners-3/quiero-ser-partner-2/solicitar-demo-2/contacto_integrador/contactarme/"",""kind"":""post-type"",""isTopLevelLink"":false} /-->

<!-- wp:navigation-link {""label"":""Contacto"",""type"":""page"",""id"":1822,""url"":""https://web.viaweb.net.ar/red-de-partners-3/contacto-2/"",""kind"":""post-type"",""isTopLevelLink"":false} /-->

<!-- wp:navigation-link {""label"":""¡Te llamamos!"",""type"":""page"",""id"":1686,""url"":""https://web.viaweb.net.ar/red-de-partners-3/quiero-ser-partner-2/solicitar-demo-2/te-llamamos/"",""kind"":""post-type"",""isTopLevelLink"":false} /-->

<!-- wp:navigation-link {""label"":""Contactarme"",""type"":""page"",""id"":1611,""url"":""https://web.viaweb.net.ar/red-de-partners-3/quiero-ser-partner-2/solicitar-demo-2/contacto_integrador/contactarme/"",""kind"":""post-type"",""isTopLevelLink"":false} /-->
<!-- /wp:navigation-submenu -->",,2024-10-21 5:03:24,wp_navigation,https://web.viaweb.net.ar/2024/10/main-menu/,Menú de navegación de WordPress con múltiples enlaces a páginas y secciones del sitio web,Navegación,Menú Principal
9192,Navegación,"<!-- wp:navigation-link {""label"":""231.md.txt"",""type"":""page"",""id"":9174,""url"":""https://web.viaweb.net.ar/231-md-txt/"",""kind"":""post-type""} /-->

<!-- wp:navigation-link {""label"":""231.md.txt"",""type"":""page"",""id"":9174,""url"":""https://web.viaweb.net.ar/231-md-txt/"",""kind"":""post-type""} /-->

<!-- wp:navigation-link {""type"":""page"",""kind"":""post-type""} /-->",,2024-10-21 5:03:24,wp_navigation,https://web.viaweb.net.ar/2024/10/navegacion/,"Enlaces de navegación de WordPress, incluyendo uno a una página titulada ""231.md.txt""",Navegación,
9690,Nested Pages,"<!-- wp:navigation-submenu {""label"":""Soluciones y Servicios Personalizados"",""type"":""page"",""rel"":""page"",""id"":9593,""url"":""https://web.viaweb.net.ar/servicios-y-soluciones/"",""kind"":""post-type"",""isTopLevelItem"":true} -->
<!-- wp:navigation-submenu {""label"":""Herramientas y Tecnologías para el Éxito Empresarial"",""type"":""page"",""rel"":""page"",""id"":9592,""url"":""https://web.viaweb.net.ar/servicios-y-soluciones/soluciones-empresariales/"",""kind"":""post-type"",""isTopLevelItem"":false} -->
<!-- wp:navigation-link {""label"":""Opciones de Personalización"",""type"":""page"",""rel"":""page"",""id"":9594,""url"":""https://web.viaweb.net.ar/servicios-y-soluciones/soluciones-empresariales/servicios-adicionales/"",""kind"":""post-type"",""isTopLevelLink"":false} /-->
<!-- /wp:navigation-submenu -->

<!-- wp:navigation-submenu {""label"":""Estrategias Avanzadas para el Desarrollo Web y E-commerce"",""type"":""page"",""rel"":""page"",""id"":9598,""url"":""https://web.viaweb.net.ar/servicios-y-soluciones/desarrollo-web-y-e-commerce/"",""kind"":""post-type"",""isTopLevelItem"":false} -->
<!-- wp:navigation-link {""label"":""Integraciones"",""type"":""page"",""rel"":""page"",""id"":9604,""url"":""https://web.viaweb.net.ar/servicios-y-soluciones/desarrollo-web-y-e-commerce/integraciones-2/"",""kind"":""post-type"",""isTopLevelLink"":false} /-->
<!-- /wp:navigation-submenu -->

<!-- wp:navigation-link {""label"":""Análisis de Datos para la Toma de Decisiones"",""type"":""page"",""rel"":""page"",""id"":9596,""url"":""https://web.viaweb.net.ar/servicios-y-soluciones/inteligencia-empresarial/"",""kind"":""post-type"",""isTopLevelLink"":false} /-->

<!-- wp:navigation-link {""label"":""Estrategias de Marketing para la Era Digital: Adaptándose al Panorama en Evolución"",""type"":""page"",""rel"":""page"",""id"":9603,""url"":""https://web.viaweb.net.ar/servicios-y-soluciones/marketing-y-estrategias/"",""kind"":""post-type"",""isTopLevelLink"":false} /-->
<!-- /wp:navigation-submenu -->

<!-- wp:navigation-submenu {""label"":""Información Corporativa"",""type"":""page"",""rel"":""page"",""id"":9615,""url"":""https://web.viaweb.net.ar/informacion-corporativa/"",""kind"":""post-type"",""isTopLevelItem"":true} -->
<!-- wp:navigation-link {""label"":""El origen"",""type"":""page"",""rel"":""page"",""id"":9606,""url"":""https://web.viaweb.net.ar/informacion-corporativa/inicio-1/"",""kind"":""post-type"",""isTopLevelLink"":false} /-->

<!-- wp:navigation-link {""label"":""Partners y Colaboraciones"",""type"":""page"",""rel"":""page"",""id"":9599,""url"":""https://web.viaweb.net.ar/partners-y-colaboraciones/"",""kind"":""post-type"",""isTopLevelLink"":true} /-->
<!-- /wp:navigation-submenu -->

<!-- wp:navigation-submenu {""label"":""Atención al cliente"",""type"":""page"",""rel"":""page"",""id"":9617,""url"":""https://web.viaweb.net.ar/contacto-y-soporte/"",""kind"":""post-type"",""isTopLevelItem"":true} -->
<!-- wp:navigation-link {""label"":""Documentación y preguntas frecuentes"",""type"":""page"",""rel"":""page"",""id"":9616,""url"":""https://web.viaweb.net.ar/contacto-y-soporte/faq-y-ayuda-al-usuario/"",""kind"":""post-type"",""isTopLevelLink"":false} /-->
<!-- /wp:navigation-submenu -->",,2024-10-24 9:53:33,wp_navigation,https://web.viaweb.net.ar/2024/10/nested-pages/,"Submenú de navegación de WordPress para ""Soluciones y Servicios Personalizados"" con varias subsecciones",Navegación,Páginas Anidadas
19798,Navigation,<!-- wp:page-list /-->,,2023-08-10 5:50:44,wp_navigation,https://web.viaweb.net.ar/2023/08/navigation-6/,Elemento de lista de páginas de WordPress,Navegación,
