ID,Página,URL Producción,URL Desarrollo,Título H1,Descripción Principal,Subtítulo / Tag,Secciones y Contenido Destacado,Características / Bullets,CTA Principal,CTA Secundario,Estadísticas / Datos Clave,FAQs,Testimonios,Palabras Clave,Notas
asociacion,Asociación y Partners,https://clientum.com.ar/socios/,https://36f6531a-bf05-4de9-8e88-70f328fddd84-00-2mkpr9yd2f9z4.worf.replit.dev/socios/,Asociación y Partners de Clientum,Únete a nuestro ecosistema y gana dinero ayudando a digitalizar las PyMEs de la Patagonia y toda Latinoamérica.,Programa de Alianzas,"Programa de Afiliados: 30% comisión recurrente de por vida, panel de monitoreo en vivo, material de soporte gratuito (banners, videos, plantillas, copys) | Partners de Implementación: precios revendedor preferencial, white label disponible, capacitación VIP con desarrolladores, derivación de leads locales","30% comisión recurrente de por vida | Panel de monitoreo: clicks, conversiones y comisiones en tiempo real | Material gratuito: banners, videos, plantillas, copys | White Label para agencias y SaaS | Capacitación y certificación VIP con desarrolladores | Derivación de leads locales a partners en su zona",Unirme como Afiliado Gratis,Postularme como Partner Certificado,30% comisión recurrente de por vida | White Label disponible | Certificación oficial,,,"afiliados, programa de partners, white label, comisiones, agencias, consultores, revendedores, certificación, referidos","Dos programas: Afiliados (influencers, creadores de contenido) y Partners de Implementación (agencias, consultores). Certificación oficial disponible."
ayuda,Centro de Ayuda,https://clientum.com.ar/faq/,https://36f6531a-bf05-4de9-8e88-70f328fddd84-00-2mkpr9yd2f9z4.worf.replit.dev/faq/,Soporte & Base de Conocimiento,Encuentra respuestas inmediatas a tus dudas técnicas o contáctate directamente con nuestro equipo de soporte prioritario.,Centro de Ayuda,FAQ acordeón con 5 preguntas frecuentes | Canal de soporte WhatsApp (24/7 con bot calificador) | Soporte por correo electrónico,"FAQ 1: ¿Qué servicios ofrece? (web e-commerce, CRM, ERP, BI, ciberseguridad, academia) | FAQ 2: ¿Tiempo de desarrollo? (4-6 sem landing/web; 8-12 sem ERP/CRM) | FAQ 3: ¿Métodos de pago? (pesos, transferencia, MercadoPago, tarjetas int.) | FAQ 4: ¿Soporte post-implementación? (sí, 24/7, backups automáticos) | FAQ 5: ¿Ventajas vs agencias? (equipo multidisciplinario, PyMEs del interior argentino, alcance internacional)",Iniciar Chat WhatsApp,Enviar Correo de Soporte,Soporte 24/7 | Respuesta garantizada | Bot calificador + derivación a operador humano,¿Qué servicios ofrece Clientum? | ¿Cuánto tiempo toma el desarrollo? (4-12 semanas) | ¿Qué métodos de pago aceptan? | ¿Ofrecen soporte post-implementación? | ¿Qué ventajas tiene sobre agencias?,,"soporte, ayuda, FAQ, preguntas frecuentes, WhatsApp, email, tiempo de entrega, métodos de pago, post-implementación",Mismo set de 5 FAQs reutilizado también en la página de Precios (acordeón). Soporte 24/7 vía WhatsApp y email.
privacidad,Política de Privacidad,https://clientum.com.ar/privacidad/,https://36f6531a-bf05-4de9-8e88-70f328fddd84-00-2mkpr9yd2f9z4.worf.replit.dev/privacidad/,Política de Privacidad,"Clientum se compromete a salvaguardar los datos personales recolectados a través de nuestros CRM, formularios de consulta o enrolamientos en Clientum Academia.",Actualizado: Julio de 2026,"Sección 1: Quiénes somos (web.clientum.com.ar) | Sección 2: Qué datos recopilamos (nombres comerciales, WhatsApp, emails, cookies de sesión) | Sección 3: Derechos sobre tus datos (exportación y eliminación disponibles)","Datos recopilados: nombres comerciales, números de WhatsApp, correos electrónicos, descripciones de dolores, cookies de sesión | Derecho a exportar datos personales | Derecho a solicitar eliminación de la BD activa | Dominio oficial: web.clientum.com.ar",Volver al Inicio,,,,,"política de privacidad, datos personales, GDPR, cookies, derechos de usuario, eliminación de datos","Actualizada julio 2026. 3 secciones. Sin footer de cookies adicional. Datos recopilados solo vía CRM, formularios y academia."
chatbot,Chatbot WhatsApp,https://clientum.com.ar/whatsapp/,https://36f6531a-bf05-4de9-8e88-70f328fddd84-00-2mkpr9yd2f9z4.worf.replit.dev/whatsapp/,"Tu negocio atiende solo, las 24 horas","El chatbot de Clientum responde consultas, califica leads y agenda citas en WhatsApp — sin que toques nada. Operativo en una semana.",Chatbot WhatsApp,"Hero con demo de conversación WhatsApp simulada (stock, envío, calificación de lead) | 3 estadísticas destacadas | Features grid (sin detallar, grid implícito) | CTA final verde con 14 días gratis",Sin tarjeta de crédito | Sin código ni IT | Operativo en 1 semana | Responde consultas de stock en tiempo real | Califica leads automáticamente | Agenda citas sin intervención humana | Derivación a asesor cuando el bot lo detecta necesario,Probar 14 días gratis,Ver demo,24/7 atención ininterrumpida | +60% consultas resueltas sin humano | 1 semana de implementación,,,"chatbot WhatsApp, WhatsApp Business API, automatización, atención 24/7, bot, calificación de leads, agenda citas, sin código",Demo visual de conversación WhatsApp en el hero (4 mensajes simulados). Implementación en 1 semana sin IT. 14 días gratis.
crm_inteligente,CRM Inteligente,https://clientum.com.ar/crm/,https://36f6531a-bf05-4de9-8e88-70f328fddd84-00-2mkpr9yd2f9z4.worf.replit.dev/crm/,Nunca más perdas una venta,"Gestioná contactos, leads y deals en un pipeline visual. Con seguimiento automático y alertas para que nada se te escape.",CRM Inteligente,"Hero con pipeline visual (5 etapas: Prospecto, Contactado, Propuesta, Negociación, Ganado) con drag & drop | 4 features: Contactos y empresas unificados / Pipeline visual / Seguimiento automático / Integración WhatsApp+AFIP | CTA azul: ""Organizá tu pipeline hoy — 14 días gratis""",Sin tarjeta de crédito | Fácil de usar | Soporte incluido | Contactos y empresas en un solo lugar | Pipeline visual drag & drop | Seguimiento automático con alertas de deals sin actividad | Integración nativa con WhatsApp y AFIP | Historial completo de interacciones,Probar gratis,,14 días gratis | Soporte incluido | 5 etapas de pipeline configurables,,,"CRM, pipeline de ventas, leads, deals, contactos, WhatsApp, AFIP, seguimiento automático, drag & drop, ventas",Pipeline de 5 etapas: Prospecto → Contactado → Propuesta → Negociación → Ganado. Drag & drop. Alertas de deals sin actividad.
asistente_ia,Asistente IA,https://clientum.com.ar/ia/,https://36f6531a-bf05-4de9-8e88-70f328fddd84-00-2mkpr9yd2f9z4.worf.replit.dev/ia/,"Tu analista de negocio, siempre disponible","Preguntale cualquier cosa sobre tu CRM y recibís respuestas al instante. Reportes, sugerencias y acciones sin aprender ninguna herramienta.",Asistente IA,"Hero con demo de chat IA en castellano (2 intercambios: leads de la semana, deals estancados) | 3 bullets clave | 4 ejemplos de preguntas posibles | CTA morado: ""Incluido en todos los planes sin costo adicional""",Sin configuración adicional | Incluido en todos los planes | Responde en castellano | Informa leads nuevos de la semana | Detecta deals estancados +7 días | Sugiere mensajes de seguimiento | Genera borradores de propuestas para clientes | Resúmenes del pipeline al instante,Probar gratis,,Incluido en todos los planes sin costo adicional | Responde en castellano | Sin configuración,,,"asistente IA, inteligencia artificial, Gemini, CRM inteligente, análisis de negocio, chatbot IA, castellano, reportes automáticos","Powered by Google Gemini. Demo interactivo de chat en castellano. Ejemplo: ""12 leads nuevos ↑3 vs semana pasada"" y ""4 deals sin actividad""."
reportes,Reportes Automáticos,https://clientum.com.ar/reportes/,https://36f6531a-bf05-4de9-8e88-70f328fddd84-00-2mkpr9yd2f9z4.worf.replit.dev/reportes/,Tomá decisiones con datos reales,"Reportes automáticos de ventas, actividad, facturación y atención al cliente. Sin armar planillas, sin pedir datos al equipo.",Reportes Automáticos,Hero con dashboard simulado Junio 2026 (4 KPIs: 18 deals +3 / $480K ingresos +12% / 34 leads +7 / 23% cierre +5%) | 6 tipos de reportes automáticos | CTA naranja: 14 días gratis,"Dashboard en tiempo real | Reportes automáticos por email | Exportar a Excel o PDF | Pipeline de ventas por etapa y probabilidad | Actividad del equipo (llamadas, emails, reuniones, tareas) | Leads y conversiones por origen | Facturación y pagos (ingresos, deuda, proyección) | Contactos nuevos y sin actividad | WhatsApp: conversaciones bot, derivaciones, tiempo de respuesta",Probar gratis,,"Dashboard en vivo | 6 tipos de reportes | Exportación a Excel y PDF | KPIs: deals activos, ingresos del mes, leads nuevos, tasa de cierre",,,"reportes, dashboard, business intelligence, KPIs, analytics, ventas, facturación, tiempo real, Excel, PDF","Dashboard simulado con KPIs de junio 2026 con variación vs mes anterior. 6 reportes: pipeline, actividad, leads, facturación, contactos, WhatsApp."
automatizacion,Automatización,https://clientum.com.ar/automatizacion/,https://36f6531a-bf05-4de9-8e88-70f328fddd84-00-2mkpr9yd2f9z4.worf.replit.dev/automatizacion/,Hacé más con menos esfuerzo,"Automatizá seguimientos, alertas, emails y tareas. Tu equipo se enfoca en vender — el sistema hace el resto.",Automatización,Hero con flujo de 5 pasos visualizado: Lead por WhatsApp → Bot califica y registra → Asesor asignado automáticamente → Recordatorio si no hay actividad en 2 días → Deal ganado → Factura generada | 6 tipos de automatizaciones | CTA amarillo: 14 días gratis,Sin código | Flujos visuales | Activación inmediata | Recordatorios automáticos si deal inactivo X días | Seguimiento WhatsApp a leads sin respuesta en 48hs | Emails de nurturing por etapa del pipeline | Facturas automáticas al cerrar deal ganado | Sincronización WhatsApp+CRM+Facturación en tiempo real | Tareas asignadas automáticamente al avanzar etapa,Probar gratis,,5 pasos automáticos en el flujo de ventas | Activación inmediata | Sin código | Sin intervención manual,,,"automatización, flujos de venta, nurturing, recordatorios automáticos, WhatsApp, facturas automáticas, no-code, lead management",Flujo de 5 pasos visualizado paso a paso. Sin código. Activación inmediata. 6 tipos de automatizaciones descriptas.
portal_cliente,Portal del Cliente,https://clientum.com.ar/portal/,https://36f6531a-bf05-4de9-8e88-70f328fddd84-00-2mkpr9yd2f9z4.worf.replit.dev/portal/,Tus clientes se autoatienden,"Un portal privado donde cada cliente ve sus facturas, pedidos y cotizaciones. Menos llamadas, más satisfacción.",Portal del Cliente,"Hero con demo del portal de ""Distribuidora del Sur"": 4 módulos (Mis Facturas 12, Mis Pedidos 5 activos, Mis Cotizaciones 3 pendientes, Mensajes 2 nuevos) | 6 features | CTA verde-azulado: ""Menos llamadas, más satisfacción""","Con tu marca (logo, colores, dominio personalizado) | Acceso seguro con usuario y contraseña individual | Funciona en celular | Facturas y pagos en línea con historial | Seguimiento de pedidos en tiempo real | Cotizaciones digitales aprobadas con 1 click | Mensajería directa empresa-cliente sin WhatsApp personal | Aislamiento de datos: cada cliente solo ve los suyos",Probar gratis,Ver demo del portal,White Label disponible | Acceso seguro por usuario | Compatible con móvil,,,"portal cliente, self-service, B2B, facturas online, pedidos, cotizaciones digitales, white label, acceso seguro","Portal con white label completo. Login individual por cliente. 4 módulos: facturas, pedidos, cotizaciones, mensajes. Compatible con móvil."
desarrollo_web,Desarrollo Web,https://clientum.com.ar/desarrollo-web/,https://36f6531a-bf05-4de9-8e88-70f328fddd84-00-2mkpr9yd2f9z4.worf.replit.dev/desarrollo-web/,"Tu presencia web, conectada al CRM","Sitios web, landing pages y e-commerce integrados con Clientum. Cada visita que convierte entra directo a tu pipeline — nada se pierde.",Desarrollo Web,"Hero con mockup de navegador (tuempresa.com.ar) mostrando diseño moderno con CTAs ""Pedir presupuesto"" y ""Ver servicios"" | 6 tipos de servicios web | CTA: ""¿Tenés un proyecto en mente? Presupuesto en 48 horas""","Diseño moderno y responsivo | Integrado con WhatsApp y CRM | Presupuesto en 48 horas | Sitio web corporativo (genera confianza y SEO) | Landing pages de conversión (lead directo al CRM) | Aplicaciones web a medida (integradas con Clientum) | E-commerce sincronizado con inventario y facturación | Mantenimiento, SSL, actualizaciones de seguridad y backups diarios | Botón WhatsApp conectado al chatbot calificador",Pedir presupuesto,,Presupuesto gratuito en 48 horas | SSL incluido | Backups diarios | Integración nativa con CRM,,,"desarrollo web, e-commerce, landing page, sitio corporativo, WordPress, aplicaciones web, hosting, SSL, backups, SEO","6 tipos de desarrollo: corporativo, landing, app a medida, e-commerce, mantenimiento+hosting, integración WhatsApp. Presupuesto en 48 horas."
