ID,Type,SKU,Name,Published,Short description,Description,In stock?,Regular price,Sale price,Categories,Tags
,simple,CTM-0014,Generación de Respuestas con IA,1,Generación de Respuestas con IA; Soporte al Cliente con Respuestas Rápidas y Precisas,Generación de Respuestas con IA; Soporte al Cliente con Respuestas Rápidas y Precisas,1,1500000,,Servicios > Atención al Cliente,"clientum,servicio"
,simple,CTM-0015,Diseño de interiores,1,Diseño de chatbots; Diseño de interiores,Diseño de chatbots; Diseño de interiores,1,1575000,,Servicios > Atención al Cliente,"clientum,servicio"
,simple,CTM-0016,Servicios de Asistencia Virtual Ecommerce,1,Servicios de Asistencia Virtual Ecommerce,Servicios de Asistencia Virtual Ecommerce,1,1575000,,Servicios > Atención al Cliente,"clientum,servicio"
,simple,CTM-0017,Servicio de Gestión de Reseñas y Opiniones,1,Gestión de Reseñas y Feedback: Construye Confianza y Mejora tu Reputación Online; Gestión de Reseñas y Feedback: Mejora tu Reputación y Confianza en Línea; Serv,Gestión de Reseñas y Feedback: Construye Confianza y Mejora tu Reputación Online; Gestión de Reseñas y Feedback: Mejora tu Reputación y Confianza en Línea; Servicio de Gestión de Reseñas y Opiniones; Servicio de Gestión de Reseñas y Opiniones: Mejora la Confianza y Optimiza tu E-commerce,1,1425000,,Servicios > Atención al Cliente,"clientum,servicio"
,simple,CTM-0018,Instalación de Software,1,Instalación de Software,Instalación de Software,1,1350000,,Servicios > Atención al Cliente,"clientum,servicio"
,simple,CTM-0019,Consultoría legal,1,Consultoría especializada; Consultoría legal,Consultoría especializada; Consultoría legal,1,1350000,,Servicios > Atención al Cliente,"clientum,servicio"
,simple,CTM-0020,Chatbot de Atención al Cliente para Ecommerce,1,Atención Al Cliente; Chatbot de Atención al Cliente: Automatiza tus consultas y mejora la experiencia de tus clientes; Implementación de Chatbot para E-commerce,Atención Al Cliente; Chatbot de Atención al Cliente: Automatiza tus consultas y mejora la experiencia de tus clientes; Implementación de Chatbot para E-commerce: Mejora la Experiencia del Usuario y Dispara las Conversiones; Implementación de Chatbot para Ecommerce: Mejora la Experiencia del Usuario y Aumenta las Conversiones; Implementación de Chatbots para E-commerce: Automatizá tu Atención al Cliente y Vendé Más; Integración de Chatbots para Ecommerce: Mejora la Experiencia del Cliente,1,1200000,,Servicios > Atención al Cliente,"clientum,servicio"
,simple,CTM-0021,$200 por incidente: Protección integral para tu tranquilidad,1,$200 por incidente: Protección integral para tu tranquilidad; Soporte Técnico Extendido: ¡Protección y tranquilidad para tus dispositivos!,$200 por incidente: Protección integral para tu tranquilidad; Soporte Técnico Extendido: ¡Protección y tranquilidad para tus dispositivos!,1,1275000,,Servicios > Atención al Cliente,"clientum,servicio"
,simple,CTM-0022,Chatbot de Ventas (WhatsApp/Web),1,Chatbots para Ecommerce: Atención al cliente mejorada y ventas aumentadas; Chatbots para Ecommerce: Mejora la atención al cliente y aumenta tus ventas; Chatbots,Chatbots para Ecommerce: Atención al cliente mejorada y ventas aumentadas; Chatbots para Ecommerce: Mejora la atención al cliente y aumenta tus ventas; Chatbots para Ventas; Implementación de Chatbots para Ecommerce: Automatiza tu Atención al Cliente y Aumenta tus Ventas,1,1200000,,Servicios > Atención al Cliente,"clientum,servicio"
,simple,CTM-0023,Traducción de Documentos,1,Translation of Documents,Translation of Documents,1,1125000,,Servicios > Atención al Cliente,"clientum,servicio"
,simple,CTM-0024,Servicio de traducción,1,Servicio de Traducción Técnica; Servicio de Traducción de Documentos; Servicio de traducción; Servicios de traducción; Traducción de Contenido; Traducción de Co,Servicio de Traducción Técnica; Servicio de Traducción de Documentos; Servicio de traducción; Servicios de traducción; Traducción de Contenido; Traducción de Contenido Multilingüe,1,1125000,,Servicios > Atención al Cliente,"clientum,servicio"
,simple,CTM-0025,Actualización de software,1,Actualización de Sistemas Operativos; Actualización de software,Actualización de Sistemas Operativos; Actualización de software,1,1050000,,Servicios > Atención al Cliente,"clientum,servicio"
,simple,CTM-0026,Alquiler de equipo audiovisual,1,Alquiler de equipo audiovisual,Alquiler de equipo audiovisual,1,1050000,,Servicios > Atención al Cliente,"clientum,servicio"
,simple,CTM-0027,Enrutamiento Inteligente de Tickets,1,Enrutamiento Inteligente de Tickets; Implementación de chatbots inteligentes,Enrutamiento Inteligente de Tickets; Implementación de chatbots inteligentes,1,900000,,Servicios > Atención al Cliente,"clientum,servicio"
,simple,CTM-0028,Traducción e interpretación,1,Servicios de interpretación; Traducción e interpretación,Servicios de interpretación; Traducción e interpretación,1,975000,,Servicios > Atención al Cliente,"clientum,servicio"
,simple,CTM-0029,Personalización,1,Asesoría de imagen personal; Chatbots Avanzados para Experiencias Personalizadas; Personalización,Asesoría de imagen personal; Chatbots Avanzados para Experiencias Personalizadas; Personalización,1,750000,,Servicios > Atención al Cliente,"clientum,servicio"
,simple,CTM-0030,Plataforma de Chatbots y Asistentes Virtuales,1,Plataforma de Chatbots y Asistentes Virtuales; Plataforma de Gestión de Reclamos y Servicio al Cliente,Plataforma de Chatbots y Asistentes Virtuales; Plataforma de Gestión de Reclamos y Servicio al Cliente,1,825000,,Servicios > Atención al Cliente,"clientum,servicio"
,simple,CTM-0031,Optimización de Estrategias de Servicio al Cliente,1,Optimización de Estrategias de Servicio al Cliente,Optimización de Estrategias de Servicio al Cliente,1,825000,,Servicios > Atención al Cliente,"clientum,servicio"
,simple,CTM-0032,Transcripción de audio,1,Servicio de Transcripción de Audio; Soporte para Transcripción de Audio; Transcripción de audio,Servicio de Transcripción de Audio; Soporte para Transcripción de Audio; Transcripción de audio,1,900000,,Servicios > Atención al Cliente,"clientum,servicio"
,simple,CTM-0033,Soporte a Usuarios Finales,1,Soporte a Usuarios Finales,Soporte a Usuarios Finales,1,562500,,Servicios > Atención al Cliente,"clientum,servicio"
,simple,CTM-0034,Respaldo y recuperación,1,Respaldo y recuperación,Respaldo y recuperación,1,600000,,Servicios > Atención al Cliente,"clientum,servicio"
,simple,CTM-0035,Gestión de redes,1,Gestión de redes,Gestión de redes,1,637500,,Servicios > Atención al Cliente,"clientum,servicio"
,simple,CTM-0036,Soporte básico anual,1,Soporte Técnico Básico; Soporte Técnico Básico (Horario Laboral); Soporte Técnico Básico (Horario Laboral): Asistencia Experta para tus Dispositivos; Soporte Té,Soporte Técnico Básico; Soporte Técnico Básico (Horario Laboral); Soporte Técnico Básico (Horario Laboral): Asistencia Experta para tus Dispositivos; Soporte Técnico Básico: Asistencia rápida y confiable para tus dispositivos; Soporte Técnico Inicial: Asistencia rápida y confiable para tus dispositivos; Soporte básico (horario laboral): asistencia técnica rápida y confiable,1,675000,,Servicios > Atención al Cliente,"clientum,servicio"
,simple,CTM-0037,Valor Hora - Cliente D,1,Valor Hora - Cliente A; Valor Hora - Cliente B; Valor Hora - Cliente C; Valor Hora - Cliente D; Valor Hora - Cliente E; Valor Hora - Cliente F,Valor Hora - Cliente A; Valor Hora - Cliente B; Valor Hora - Cliente C; Valor Hora - Cliente D; Valor Hora - Cliente E; Valor Hora - Cliente F,1,712500,,Servicios > Atención al Cliente,"clientum,servicio"
,simple,CTM-0038,**Soporte Técnico**,1,**Soporte Técnico**,**Soporte Técnico**,1,375000,,Servicios > Atención al Cliente,"clientum,servicio"
,simple,CTM-0039,Servicio de catering,1,Servicio de catering,Servicio de catering,1,412500,,Servicios > Atención al Cliente,"clientum,servicio"
,simple,CTM-0040,Soporte Integral: Tu solución completa para todas tus necesidades,1,Soporte Integral: Tu solución completa para todas tus necesidades,Soporte Integral: Tu solución completa para todas tus necesidades,1,450000,,Servicios > Atención al Cliente,"clientum,servicio"
,simple,CTM-0041,"Chatbots para E-commerce: Asistencia 24/7, Respuestas Automáticas y Procesamiento de Pedidos",1,"Chatbots para E-commerce: Asistencia 24/7, Respuestas Automáticas y Procesamiento de Pedidos","Chatbots para E-commerce: Asistencia 24/7, Respuestas Automáticas y Procesamiento de Pedidos",1,487500,,Servicios > Atención al Cliente,"clientum,servicio"
,simple,CTM-0042,"Desarrollo de Apps Móviles para Ecommerce: Diseño, Implementación y Publicación",1,"Desarrollo de Apps Móviles para E-commerce: Diseño, Integración y Publicación para Impulsar tu Negocio; Desarrollo de Apps Móviles para Ecommerce: Diseño, Imple","Desarrollo de Apps Móviles para E-commerce: Diseño, Integración y Publicación para Impulsar tu Negocio; Desarrollo de Apps Móviles para Ecommerce: Diseño, Implementación y Publicación",1,8550000,,Servicios > Aplicaciones Móviles,"clientum,servicio"
,simple,CTM-0043,Desarrollo de Aplicaciones Móviles Nativas para Ecommerce: Mejora la Experiencia de Compra y Fideliza Clientes,1,Desarrollo de Aplicaciones Móviles Nativas para Ecommerce: Mejora la Experiencia de Compra y Fideliza Clientes; Desarrollo de Apps Móviles Nativas para E-commer,Desarrollo de Aplicaciones Móviles Nativas para Ecommerce: Mejora la Experiencia de Compra y Fideliza Clientes; Desarrollo de Apps Móviles Nativas para E-commerce: Mejora la Experiencia de Compra y Fideliza Clientes; Desarrollo de Apps Móviles para E-commerce: Experiencia de Compra Optimizada y Funcionalidades Avanzadas,1,9750000,,Servicios > Aplicaciones Móviles,"clientum,servicio"
,simple,CTM-0044,Desarrollo de app móvil,1,Aplicaciones Móviles; Desarrollo a medida de aplicaciones móviles; Desarrollo de Aplicaciones Móviles Intuitivas; Desarrollo de Aplicaciones Móviles Nativas y M,Aplicaciones Móviles; Desarrollo a medida de aplicaciones móviles; Desarrollo de Aplicaciones Móviles Intuitivas; Desarrollo de Aplicaciones Móviles Nativas y Multiplataforma; Desarrollo de Apps Móviles; Desarrollo de aplicaciones móviles,1,7350000,,Servicios > Aplicaciones Móviles,"clientum,servicio"
,simple,CTM-0045,Soluciones Personalizadas para Apps,1,Soluciones Personalizadas para Apps; Soluciones Personalizadas para Diferentes Plataformas; Soluciones Personalizadas para Móviles; Soluciones Personalizadas pa,Soluciones Personalizadas para Apps; Soluciones Personalizadas para Diferentes Plataformas; Soluciones Personalizadas para Móviles; Soluciones Personalizadas para Plataformas Móviles,1,6150000,,Servicios > Aplicaciones Móviles,"clientum,servicio"
,simple,CTM-0046,Creación de apps móviles,1,Creación de apps móviles,Creación de apps móviles,1,4950000,,Servicios > Aplicaciones Móviles,"clientum,servicio"
,simple,CTM-0047,Aplicaciones Móviles para Ecommerce: Crea tu Tienda Online en tu Bolsillo,1,Aplicaciones Móviles para Ecommerce: Crea tu Tienda Online en tu Bolsillo; Aplicaciones móviles para e-commerce: Crea tu tienda online en tu bolsillo; Desarroll,Aplicaciones Móviles para Ecommerce: Crea tu Tienda Online en tu Bolsillo; Aplicaciones móviles para e-commerce: Crea tu tienda online en tu bolsillo; Desarrollo de Aplicaciones Móviles para Ecommerce: Optimiza tu Tienda Virtual para Dispositivos Móviles; Desarrollo de Apps Móviles para Ecommerce: Optimiza la Experiencia de Compra en Dispositivos Móviles; Diseño y Desarrollo de Apps Móviles para Ecommerce: Optimiza tu Tienda Online; Diseño y Desarrollo de Apps Móviles para Ecommerce: Optimizá tu,1,3750000,,Servicios > Aplicaciones Móviles,"clientum,servicio"
,simple,CTM-0048,Diseño avanzado de aplicación móvil,1,Diseño avanzado de aplicación móvil,Diseño avanzado de aplicación móvil,1,1350000,,Servicios > Aplicaciones Móviles,"clientum,servicio"
,simple,CTM-0049,Desarrollo de Apps Móviles con Realidad Aumentada y Virtual: ¡Experiencias Inmersivas en tus Manos!,1,Desarrollo de Apps Móviles con Realidad Aumentada y Virtual: ¡Experiencias Inmersivas en tus Manos!,Desarrollo de Apps Móviles con Realidad Aumentada y Virtual: ¡Experiencias Inmersivas en tus Manos!,1,2550000,,Servicios > Aplicaciones Móviles,"clientum,servicio"
,simple,CTM-0050,Outsourcing de procesos de negocio,1,Outsourcing de procesos de negocio,Outsourcing de procesos de negocio,1,3300000,,Servicios > Automatización de Procesos,"clientum,servicio"
,simple,CTM-0051,Implementación de soluciones de inteligencia artificial (IA) y aprendizaje automático (ML) para automatización de procesos,1,Implementación de soluciones de inteligencia artificial (IA) y aprendizaje automático (ML) para automatización de procesos,Implementación de soluciones de inteligencia artificial (IA) y aprendizaje automático (ML) para automatización de procesos,1,3150000,,Servicios > Automatización de Procesos,"clientum,servicio"
,simple,CTM-0052,Automatización de Procesos de Negocio (BPA),1,Automatización De Procesos; Automatización de Procesos de Negocio (BPA); Automatización de TI; Implementación de Soluciones BPM; Implementación de soluciones de,Automatización De Procesos; Automatización de Procesos de Negocio (BPA); Automatización de TI; Implementación de Soluciones BPM; Implementación de soluciones de automatización de procesos; Implementación de soluciones de automatización de procesos de negocio (BPA),1,3000000,,Servicios > Automatización de Procesos,"clientum,servicio"
,simple,CTM-0053,Implementación de RPA (Automatización Robótica de Procesos),1,Automatización RPA; Automatización de procesos robóticos (RPA); Implementación de RPA; Implementación de Soluciones de Automatización de Procesos Robóticos; Imp,Automatización RPA; Automatización de procesos robóticos (RPA); Implementación de RPA; Implementación de Soluciones de Automatización de Procesos Robóticos; Implementación de Soluciones de Automatización de Procesos Robóticos (RPA); Implementación de soluciones de automatización de procesos robóticos (RPA) avanzada con capacidades cognitivas,1,2850000,,Servicios > Automatización de Procesos,"clientum,servicio"
,simple,CTM-0054,Automatización de Operaciones de TI (AIOps),1,Automatización de operaciones de TI (AIOps); Implementación de AIOps: Automatiza tus operaciones de TI para mayor eficiencia y agilidad; Implementación de Soluc,Automatización de operaciones de TI (AIOps); Implementación de AIOps: Automatiza tus operaciones de TI para mayor eficiencia y agilidad; Implementación de Soluciones de AIOps; Implementación de soluciones de automatización de operaciones de TI (AIOps),1,2700000,,Servicios > Automatización de Procesos,"clientum,servicio"
,simple,CTM-0055,Automatización con Dolibarr,1,Automation with Dolibarr,Automation with Dolibarr,1,2400000,,Servicios > Automatización de Procesos,"clientum,servicio"
,simple,CTM-0056,Automatización Avanzada,1,Automatización Avanzada; RPA avanzada,Automatización Avanzada; RPA avanzada,1,2550000,,Servicios > Automatización de Procesos,"clientum,servicio"
,simple,CTM-0057,Automatización Empresarial,1,Automatización Empresarial; Automatización de Procesos Empresariales; Optimización de Procesos Empresariales; Optimización de procesos industriales,Automatización Empresarial; Automatización de Procesos Empresariales; Optimización de Procesos Empresariales; Optimización de procesos industriales,1,2250000,,Servicios > Automatización de Procesos,"clientum,servicio"
,simple,CTM-0058,Integración de Sistemas,1,Implementación De Sistemas De Automatización; Integración de Sistemas; Integración de Sistemas y Aplicaciones; Migración de Sistemas Legacy; Migración de aplica,Implementación De Sistemas De Automatización; Integración de Sistemas; Integración de Sistemas y Aplicaciones; Migración de Sistemas Legacy; Migración de aplicaciones legacy,1,2100000,,Servicios > Automatización de Procesos,"clientum,servicio"
,simple,CTM-0059,Gestión de Flotas y Rutas,1,Gestión de Flotas y Rutas; Implementación de Herramientas de Automatización; Implementación de Herramientas de Gestión de Flotas,Gestión de Flotas y Rutas; Implementación de Herramientas de Automatización; Implementación de Herramientas de Gestión de Flotas,1,1950000,,Servicios > Automatización de Procesos,"clientum,servicio"
,simple,CTM-0060,Asistencia Virtual para la Gestión de Tareas,1,Asistencia Virtual para la Gestión de Tareas,Asistencia Virtual para la Gestión de Tareas,1,1575000,,Servicios > Automatización de Procesos,"clientum,servicio"
,simple,CTM-0061,Soluciones RPA (Robotic Process Automation),1,Soluciones RPA (Robotic Process Automation); Soluciones de RPA (Robotic Process Automation),Soluciones RPA (Robotic Process Automation); Soluciones de RPA (Robotic Process Automation),1,1725000,,Servicios > Automatización de Procesos,"clientum,servicio"
,simple,CTM-0062,Soporte Automatizado,1,Soporte Automatizado,Soporte Automatizado,1,1875000,,Servicios > Automatización de Procesos,"clientum,servicio"
,simple,CTM-0063,Procesamiento Automatizado de Facturas y Pagos,1,Procesamiento Automatizado de Facturas y Pagos,Procesamiento Automatizado de Facturas y Pagos,1,1425000,,Servicios > Automatización de Procesos,"clientum,servicio"
,simple,CTM-0064,Rediseño De Procesos,1,Análisis y Rediseño de Procesos; Rediseño De Procesos,Análisis y Rediseño de Procesos; Rediseño De Procesos,1,1275000,,Servicios > Automatización de Procesos,"clientum,servicio"
,simple,CTM-0065,Automatización de Procesos Ecommerce: Optimiza y Agiliza tu Negocio Online,1,Automatización de Procesos Ecommerce: Optimiza y Agiliza tu Negocio Online,Automatización de Procesos Ecommerce: Optimiza y Agiliza tu Negocio Online,1,1125000,,Servicios > Automatización de Procesos,"clientum,servicio"
,simple,CTM-0066,Consultoría en digitalización de procesos,1,Consultoría en digitalización de procesos,Consultoría en digitalización de procesos,1,975000,,Servicios > Automatización de Procesos,"clientum,servicio"
,simple,CTM-0067,Automatización de Ventas con IA,1,Automatización de Marketing con IA; Automatización de Ventas con IA,Automatización de Marketing con IA; Automatización de Ventas con IA,1,825000,,Servicios > Automatización de Procesos,"clientum,servicio"
,simple,CTM-0068,Plataformas de Automatización,1,Plataforma para Automatización de Procesos; Plataformas de Automatización; Plataformas para Automatización,Plataforma para Automatización de Procesos; Plataformas de Automatización; Plataformas para Automatización,1,525000,,Servicios > Automatización de Procesos,"clientum,servicio"
,simple,CTM-0069,Optimización de Energía y Recursos,1,Optimización de Energía y Recursos; Optimización de Energía y Sustentabilidad,Optimización de Energía y Recursos; Optimización de Energía y Sustentabilidad,1,675000,,Servicios > Automatización de Procesos,"clientum,servicio"
,simple,CTM-0070,Desarrollo de Soluciones de Inteligencia Artificial y Machine Learning,1,Consultoría en inteligencia artificial; Desarrollo de soluciones de inteligencia artificial; Implementación de soluciones de inteligencia artificial; Inteligenc,Consultoría en inteligencia artificial; Desarrollo de soluciones de inteligencia artificial; Implementación de soluciones de inteligencia artificial; Inteligencia artificial aplicada; Servicios de desarrollo de aplicaciones de inteligencia artificial generativa; Servicios de desarrollo de soluciones de inteligencia artificial y machine learning,1,4725000,,Servicios > Business Intelligence,"clientum,servicio"
,simple,CTM-0071,Desarrollo de Soluciones de BI para KPIs,1,Desarrollo de Soluciones de BI para KPIs; Servicios de desarrollo de aplicaciones de análisis de datos de redes sociales; Servicios de desarrollo de aplicacione,Desarrollo de Soluciones de BI para KPIs; Servicios de desarrollo de aplicaciones de análisis de datos de redes sociales; Servicios de desarrollo de aplicaciones de análisis de datos geoespaciales; Servicios de desarrollo de aplicaciones de análisis predictivo y ciencia de datos,1,4800000,,Servicios > Business Intelligence,"clientum,servicio"
,simple,CTM-0072,Servicios de gestión de proyectos,1,Reportes de Proyectos; Servicios de gestión de proyectos; Servicios de gestión de proyectos de TI; Servicios de gestión de proyectos y transformación ágil,Reportes de Proyectos; Servicios de gestión de proyectos; Servicios de gestión de proyectos de TI; Servicios de gestión de proyectos y transformación ágil,1,4650000,,Servicios > Business Intelligence,"clientum,servicio"
,simple,CTM-0073,Implementación de soluciones de big data,1,Implementación Completa de BI; Implementación de Business Intelligence: Optimiza tus decisiones con datos; Implementación de Soluciones de BI: Optimiza la Toma ,Implementación Completa de BI; Implementación de Business Intelligence: Optimiza tus decisiones con datos; Implementación de Soluciones de BI: Optimiza la Toma de Decisiones con Datos; Implementación de soluciones de big data; Servicios de implementación de soluciones de analítica de experiencia de usuario; Servicios de implementación de soluciones de gestión de datos y analítica empresarial,1,4575000,,Servicios > Business Intelligence,"clientum,servicio"
,simple,CTM-0074,IA y Aprendizaje Automático,1,Consultoría en Inteligencia Artificial y Aprendizaje Automático; Desarrollo de soluciones de aprendizaje automático (machine learning); IA y Aprendizaje Automát,Consultoría en Inteligencia Artificial y Aprendizaje Automático; Desarrollo de soluciones de aprendizaje automático (machine learning); IA y Aprendizaje Automático; Implementación de soluciones de análisis predictivo y aprendizaje automático para anticipar tendencias y oportunidades; Inteligencia artificial y aprendizaje automático; Servicios de implementación de soluciones de inteligencia artificial y aprendizaje automático,1,4500000,,Servicios > Business Intelligence,"clientum,servicio"
,simple,CTM-0075,Consultoría empresarial,1,Consultoría empresarial; Consultoría en estrategia y arquitectura empresarial; Estrategia empresarial; Estrategia y Arquitectura Empresarial; Servicios de consu,Consultoría empresarial; Consultoría en estrategia y arquitectura empresarial; Estrategia empresarial; Estrategia y Arquitectura Empresarial; Servicios de consultoria en arquitectura empresarial,1,4425000,,Servicios > Business Intelligence,"clientum,servicio"
,simple,CTM-0076,Gestión de la innovación,1,Consultoría en Gestión de la Innovación y Desarrollo de Nuevos Productos/Servicios; Consultoría en gestión de la innovación; Consultoría en innovación; Consulto,Consultoría en Gestión de la Innovación y Desarrollo de Nuevos Productos/Servicios; Consultoría en gestión de la innovación; Consultoría en innovación; Consultoría en innovación y desarrollo de nuevos modelos de negocio digitales; Gestión de la innovación; Innovación y Nuevos Modelos de Negocio,1,4350000,,Servicios > Business Intelligence,"clientum,servicio"
,simple,CTM-0077,Análisis de datos en tiempo real,1,Análisis de datos en tiempo real; Implementación de Soluciones de Análisis de Datos en Tiempo Real; Implementación de análisis de datos en tiempo real; Implemen,Análisis de datos en tiempo real; Implementación de Soluciones de Análisis de Datos en Tiempo Real; Implementación de análisis de datos en tiempo real; Implementación de soluciones de análisis de datos en tiempo real y monitoreo de indicadores clave de desempeño (KPIs),1,4275000,,Servicios > Business Intelligence,"clientum,servicio"
,simple,CTM-0078,Gobierno de Datos y Gestión,1,Consultoría en Gobernanza de Datos y Gestión del Ciclo de Vida de la Información; Consultoría en Gobierno de Datos y Gestión de Información; Consultoría en Gobi,Consultoría en Gobernanza de Datos y Gestión del Ciclo de Vida de la Información; Consultoría en Gobierno de Datos y Gestión de Información; Consultoría en Gobierno de Datos y Gestión de la Información; Consultoría en Gobierno de Datos y Gestión del Ciclo de Vida de la Información; Consultoría en Gobierno de Datos y Gestión del Ciclo de Vida de la Información: Optimiza tus datos para el éxito; Consultoría en gobernanza de datos y gestión del ciclo de vida de la información a nivel empresarial,1,4200000,,Servicios > Business Intelligence,"clientum,servicio"
,simple,CTM-0079,Implementación de Business Intelligence (BI),1,Consultoría en Inteligencia de Negocio; Desarrollo de soluciones de inteligencia de negocios; Desarrollo de soluciones de inteligencia de negocios (BI); Impleme,Consultoría en Inteligencia de Negocio; Desarrollo de soluciones de inteligencia de negocios; Desarrollo de soluciones de inteligencia de negocios (BI); Implementación de Soluciones de Inteligencia de Negocios (BI); Implementación integral y consultoría continua en inteligencia de negocio para corporaciones de gran tamaño.; Inteligencia de Negocios,1,4050000,,Servicios > Business Intelligence,"clientum,servicio"
,simple,CTM-0080,Implementación de Sistemas de IA,1,Implementación De Sistemas De Gestión De Datos; Implementación de Sistemas de IA; Implementación de Sistemas de Inteligencia Artificial; Soporte para Sistemas d,Implementación De Sistemas De Gestión De Datos; Implementación de Sistemas de IA; Implementación de Sistemas de Inteligencia Artificial; Soporte para Sistemas de Big Data,1,4125000,,Servicios > Business Intelligence,"clientum,servicio"
,simple,CTM-0081,Consultoría y Estrategia Digital,1,Consultoría Digital; Consultoría Organizacional; Consultoría de estrategia digital; Consultoría en Estrategia y Transformación Digital; Consultoría en Transform,Consultoría Digital; Consultoría Organizacional; Consultoría de estrategia digital; Consultoría en Estrategia y Transformación Digital; Consultoría en Transformación Digital; Consultoría en Transformación Digital: Impulsa tu Negocio hacia el Éxito,1,3975000,,Servicios > Business Intelligence,"clientum,servicio"
,simple,CTM-0082,BI (Business Intelligence),1,BI (Business Intelligence); Business Intelligence; Business Intelligence (BI); Business Intelligence Setup; Desarrollo de soluciones de business intelligence; P,BI (Business Intelligence); Business Intelligence; Business Intelligence (BI); Business Intelligence Setup; Desarrollo de soluciones de business intelligence; Plataforma de Business Intelligence (BI),1,3825000,,Servicios > Business Intelligence,"clientum,servicio"
