ID,Nombre,Categoría,Descripción,Precio (ARS)
6233,Plataforma de Gestión de Reclamos y Servicio al Cliente,Atención al Cliente,Gestión Eficiente De Reclamos,400
6274,Valor Hora - Cliente C,Atención al Cliente,Tarifa Horaria Cliente C,
6275,Valor Hora - Cliente B,Atención al Cliente,Tarifa Horaria Cliente B,
6276,Valor Hora - Cliente A,Atención al Cliente,Tarifa Horaria Cliente A,
6286,Enrutamiento Inteligente de Tickets,Atención al Cliente,Solución De Enrutamiento Inteligente De Tickets Con Ia,99
6288,Generación de Respuestas con IA,Atención al Cliente,Solución De Generación De Respuestas Con Ia,99
6303,**Soporte Técnico**,Atención al Cliente,Soporte Técnico Para Usuarios Finales.,50
6304,Mantenimiento preventivo,Atención al Cliente,Revisión Y Mantenimiento Preventivo De Equipos.,100
6305,Actualización de software,Atención al Cliente,Actualización De Software Y Parches De Seguridad.,75
6306,Consultoría especializada,Atención al Cliente,Consultoría De Expertos En Áreas Especializadas.,150
6307,Personalización,Atención al Cliente,Personalización De Soluciones A Medida.,200
6309,Atención Al Cliente,Atención al Cliente,Servicios De Atención Y Soporte Al Cliente.,40
6311,Respaldo y recuperación,Atención al Cliente,Servicios De Respaldo Y Recuperación De Información.,150
6315,Gestión de redes,Atención al Cliente,Gestión Y Mantenimiento De Redes.,200
6320,Consultoría legal,Atención al Cliente,Servicios De Consultoría Y Asesoría Legal Para Empresas.,2500
6321,Traducción e interpretación,Atención al Cliente,Servicios De Traducción E Interpretación Multilingüe.,800
6356,Servicios de gestión de la experiencia del cliente,Atención al Cliente,Servicios De Consultoría Y Ejecución De Programas De Gestión De La Experiencia Del Cliente.,20000
6361,Servicios de auditoría y cumplimiento normativo,Atención al Cliente,Servicios De Consultoría Y Auditoría Para Garantizar El Cumplimiento De Requisitos Legales Y Normativos.,12000
6377,Desarrollo de chatbots y asistentes virtuales,Atención al Cliente,Servicios De Creación De Soluciones De Chatbots Y Asistentes Virtuales Para Mejorar La Experiencia Del Usuario.,16000
6388,Servicios de soporte y mantenimiento de TI,Atención al Cliente,Servicios De Soporte Y Administración De La Infraestructura Y Aplicaciones Tecnológicas.,2000
6392,Servicios de desarrollo de chatbots y asistentes virtuales,Atención al Cliente,Servicios De Creación De Soluciones De Automatización De Atención Al Cliente Y Asistencia Virtual.,15000
6404,Servicios de auditoría y aseguramiento de calidad de software,Atención al Cliente,"Servicios De Pruebas, Validación Y Aseguramiento De La Calidad En Proyectos De Desarrollo De Software.",16000
6455,Transcripción de audio,Atención al Cliente,Servicio De Transcripción Profesional De Audio.,60
6456,Traducción de documentos,Atención al Cliente,Servicio De Traducción De Contenido Profesional.,"0,15"
6468,Diseño de interiores,Atención al Cliente,Servicio De Diseño Integral De Interiores.,2000
6469,Asesoría de imagen personal,Atención al Cliente,Servicio De Asesoría Integral De Imagen Personal.,300
6473,Servicio de catering,Atención al Cliente,Servicio De Catering Para Eventos Y Reuniones.,25
6474,Organización de eventos,Atención al Cliente,Servicio De Organización Y Producción De Eventos A Medida.,5000
6479,Servicio de traducción,Atención al Cliente,Traducción De Contenido A Múltiples Idiomas.,600
6516,Alquiler de equipo audiovisual,Atención al Cliente,Alquiler De Equipos Audiovisuales Profesionales Para Proyectos De Producción De Contenido.,500
6517,Montaje de eventos,Atención al Cliente,Servicio Integral De Montaje Y Producción Técnica De Eventos Corporativos O Sociales.,2500
6519,Mantenimiento y soporte IT,Atención al Cliente,Servicios De Mantenimiento Y Soporte Técnico Para Infraestructura Y Sistemas Informáticos.,1500
6520,Servicios de traducción,Atención al Cliente,Servicios De Traducción De Contenido A Diversos Idiomas.,"0,12"
6521,Servicios de interpretación,Atención al Cliente,Servicios De Interpretación En Vivo Para Eventos Y Reuniones Multilinguës.,50
6536,Chatbot de Atención al Cliente: Automatiza tus consultas y mejora la experiencia de tus clientes,Atención al Cliente,"Servicio de chatbot de atención al cliente para e-commerce. Automatiza las consultas de los clientes 24/7, mejora la experiencia del usuario y aumenta las ventas.",1500
6544,Implementación de Chatbot para Ecommerce: Mejora la Experiencia del Usuario y Aumenta las Conversiones,Atención al Cliente,"Servicio de implementación de chatbot para e-commerce que mejora la experiencia del cliente, aumenta las conversiones y optimiza las operaciones.",3500
6558,Servicio de Chatbot: Automatiza tu atención al cliente y mejora la experiencia del usuario,Atención al Cliente,"Servicio de Implementación de Chatbot para Ecommerce: Mejora la experiencia del cliente, aumenta las conversiones y reduce costos.",1500
6580,Servicio de Implementación de Chatbot para Ecommerce,Atención al Cliente,Servicio De Implementación De Chatbot Para Ecommerce.,3000
6588,"Servicio de Desarrollo de Chatbot para Soporte al Cliente: Mejora la Atención, Reduce Tiempos de Respuesta",Atención al Cliente,"Servicio de Desarrollo de Chatbot de Soporte al Cliente para Ecommerce: Mejora la experiencia del cliente, reduce costos y aumenta las ventas con nuestra solución innovadora.",4500
6594,Servicio de Gestión de Reseñas y Opiniones,Atención al Cliente,Servicio De Gestión De Reseñas Y Opiniones Para Ecommerce.,2500
6647,Chatbots para Ecommerce: Mejora la atención al cliente y aumenta tus ventas,Atención al Cliente,Chatbots para Ecommerce que mejoran la atención al cliente.,1000
6650,Gestión de Reseñas y Feedback: Mejora tu Reputación y Confianza en Línea,Atención al Cliente,"Herramienta de gestión de reseñas y feedback para e-commerce que recopila, analiza y responde a las opiniones de los clientes, brindando información valiosa para el crecimiento del negocio.",800
6662,Servicio de Atención al Cliente para Ecommerce: Mejora la Experiencia de Compra y Satisfacción del Cliente,Atención al Cliente,Servicio de Atención al Cliente para Ecommerce: Soluciones para potenciar tu negocio online.,800
6668,Integración de Chatbots para Ecommerce: Mejora la Experiencia del Cliente,Atención al Cliente,"Integración de Chatbots para Ecommerce: Mejora la experiencia de compra con asistencia personalizada 24/7, respuestas personalizadas y automatización de tareas.",1000
6680,Servicios de Atención al Cliente Ecommerce,Atención al Cliente,Soluciones De Atención Al Cliente Para Ecommerce.,800
6683,Implementación de Chatbots para Ecommerce: Automatiza tu Atención al Cliente y Aumenta tus Ventas,Atención al Cliente,Servicios de implementación de chatbots para e-commerce,1500
6692,Servicios de Asistencia Virtual Ecommerce,Atención al Cliente,Soluciones De Asistencia Virtual Para Ecommerce.,2000
6707,Servicios de Desarrollo de Chatbots Ecommerce,Atención al Cliente,Servicios De Desarrollo De Chatbots Para Ecommerce.,3000
6825,Soporte básico anual,Atención al Cliente,,1
6843,Valor Hora - Cliente D,Atención al Cliente,Valor Hora Cliente D,220
6844,Valor Hora - Cliente E,Atención al Cliente,Valor Hora Cliente E,240
6845,Valor Hora - Cliente F,Atención al Cliente,Valor Hora Cliente F,260
6846,Valor Hora - Cliente G,Atención al Cliente,Valor Hora Cliente G,280
6977,Soporte Técnico Mensual,Atención al Cliente,Soporte Técnico Continuo.,100
6978,Soporte Técnico Básico,Atención al Cliente,Soporte Técnico Básico.,800
6979,Soporte Técnico Avanzado,Atención al Cliente,Soporte Técnico Avanzado.,1200
6981,Soporte Técnico Básico (Horario Laboral),Atención al Cliente,Soporte Técnico Básico.,300
6989,Soporte y Mantenimiento de Ti,Atención al Cliente,Soporte Ti,2200
6994,Soporte para Transcripción de Audio,Atención al Cliente,Soporte Transcripción De Audio,1200
7018,Servicio de Traducción de Documentos,Atención al Cliente,Traducción De Documentos,300
7019,Servicio de Transcripción de Audio,Atención al Cliente,Transcripción De Audio,300
7020,Traducción de Documentos Especializados,Atención al Cliente,Traducción De Documentos Especializados,500
7021,Servicio de Traducción Técnica,Atención al Cliente,Traducción Técnica,600
7022,Traducción de Documentos Profesionales,Atención al Cliente,Traducción De Documentos,1500
7023,Traducción de Contenido Multilingüe,Atención al Cliente,Traducción Multilingüe,2000
7024,Traducción de Contenido,Atención al Cliente,Traducción Contenido,1000
7026,Translation of Documents,Atención al Cliente,Traducción Documentos,900
7448,Soporte Técnico Prioritario,Atención al Cliente,,
7455,Soporte Técnico Adicional,Atención al Cliente,,
7470,Soporte Técnico Básico (Horario Laboral): Asistencia Experta para tus Dispositivos,Atención al Cliente,Soporte técnico remoto y telefónico durante el horario laboral para resolver problemas informáticos y de dispositivos.,24
7473,Asistencia técnica por incidente a $150,Atención al Cliente,$150 por incidente: Protección integral para tu tranquilidad,1000
7479,Soporte Técnico Básico: Asistencia rápida y confiable para tus dispositivos,Atención al Cliente,Soporte Técnico Básico: Tu aliado tecnológico para una vida digital sin complicaciones.,
7484,Soporte Técnico Extendido: ¡Protección y tranquilidad para tus dispositivos!,Atención al Cliente,"Soporte Técnico Extendido: Tu aliado tecnológico para una tranquilidad absoluta. Cobertura extendida, soporte 24/7, reparaciones y reemplazos, diagnóstico remoto y actualizaciones de software.",
7494,Soporte Integral: Tu solución completa para todas tus necesidades,Atención al Cliente,"Soporte Integral: Tu aliado para un negocio sin preocupaciones. Atención personalizada, soporte técnico 24/7, gestión de proyectos, capacitación y auditorías para garantizar el éxito y la tranquilidad de tu negocio.",
7501,Soporte básico (horario laboral): asistencia técnica rápida y confiable,Atención al Cliente,Soporte técnico básico durante el horario laboral para resolver problemas técnicos menores y brindar asistencia general.,24
7504,$200 por incidente: Protección integral para tu tranquilidad,Atención al Cliente,$200 por incidente: Protección integral para tu tranquilidad,1200
7509,Soporte Técnico Básico: Asistencia rápida y confiable para tus dispositivos,Atención al Cliente,Soporte Técnico Básico: Tu aliado tecnológico para una vida digital sin complicaciones.,
7529,Soporte Post-Implementación: Asistencia Experta para el Éxito Continuo,Atención al Cliente,Soporte Post-Implementación: el aliado indispensable para el éxito de tus proyectos tecnológicos.,500
7537,Soporte Técnico Inicial: Asistencia rápida y confiable para tus dispositivos,Atención al Cliente,"Soporte Técnico Inicial: Tu aliado tecnológico para un funcionamiento óptimo. Atención personalizada, diagnóstico remoto, soporte telefónico y por correo electrónico, base de conocimientos integral. Minimiza el tiempo de",400
7544,Soporte Técnico Continuo: Asistencia Experta 24/7 para tu Tranquilidad,Atención al Cliente,"Soporte Técnico Continuo: Tu aliado tecnológico para un negocio sin interrupciones. Monitoreo proactivo, soporte remoto, soporte telefónico y gestión de incidentes para máxima disponibilidad, reducción de costos y tranqu",0
7588,Implementación de chatbots inteligentes,Atención al Cliente,Chatbots Inteligentes,700
7662,Implementación de Soluciones de Gestión de la Experiencia del Cliente,Atención al Cliente,Gestión De La Experiencia Del Cliente,
7673,IT Support Package,Atención al Cliente,Soporte Técnico It,
7681,Systems Maintenance,Atención al Cliente,Mantenimiento De Sistemas It,
7712,Gestión de la experiencia del cliente (CX),Atención al Cliente,Gestión De La Experiencia Del Cliente,
7714,Asistencia técnica remota,Atención al Cliente,Asistencia Técnica Remota,
7718,Desarrollo de chatbots,Atención al Cliente,Desarrollo De Chatbots,
7722,Implementación de Soluciones de Gestión de la Experiencia del Cliente (CX),Atención al Cliente,Gestión De La Experiencia Del Cliente,
7732,Servicios de monitoreo y gestión de infraestructura IT,Atención al Cliente,Monitoreo Y Gestión De Infraestructura It,
7738,Servicios de diseño y desarrollo de chatbots y asistentes virtuales,Atención al Cliente,Diseño Y Desarrollo De Chatbots Y Asistentes Virtuales,
7757,Consultoría en gestión de la experiencia del cliente (CX) y optimización de procesos centrados en el usuario,Atención al Cliente,Consultoría,
7773,Servicios de diseño y desarrollo de chatbots y asistentes virtuales con capacidades de procesamiento de lenguaje natural,Atención al Cliente,Desarrollo De Software,
7779,Consultoría en Gestión de la Experiencia del Cliente (CX),Atención al Cliente,Optimización De La Experiencia Del Cliente,
7790,Personalización de Experiencia del Cliente,Atención al Cliente,Personalización De Ofertas Y Comunicación.,
7791,Soporte al Cliente con Respuestas Rápidas y Precisas,Atención al Cliente,Chatbots Y Respuestas Automatizadas.,
7799,Diseño y desarrollo de chatbots,Atención al Cliente,Diseño Y Desarrollo De Chatbots Y Asistentes Virtuales,
7820,Servicios de Mantenimiento de Software,Atención al Cliente,Mantenimiento De Software,
7821,Soporte Técnico 24/7,Atención al Cliente,Soporte Técnico,
7862,Mantenimiento y Soporte Técnico Continuo,Atención al Cliente,Mantenimiento Técnico,
7867,Soporte a Usuarios Finales,Atención al Cliente,Soporte Técnico Para Usuarios Finales.,
7873,Soporte Técnico Continuo,Atención al Cliente,Soporte Técnico Para Sistemas Y Aplicaciones.,
7874,Mantenimiento de Software,Atención al Cliente,Mantenimiento Y Actualización De Software.,
7875,Mantenimiento de Hardware,Atención al Cliente,Mantenimiento De Equipos De Hardware.,
7876,Soporte Remoto,Atención al Cliente,Soporte Técnico A Distancia.,
7877,Instalación de Software,Atención al Cliente,Instalación Y Configuración De Software.,
7878,Actualización de Sistemas Operativos,Atención al Cliente,Actualización De Sistemas Operativos.,
7886,Chatbots Avanzados para Experiencias Personalizadas,Atención al Cliente,Chatbots Avanzados,
7891,Automatización de Servicio al Cliente en Plataformas Móviles,Atención al Cliente,Automatización En Móviles,
7895,Automatización de Encuestas y Retroalimentación del Cliente,Atención al Cliente,Encuestas Automatizadas,
7907,Chatbots para Ventas,Atención al Cliente,Chatbots Para Ventas Con Ia,
7909,Automatización de Servicio al Cliente con IA,Atención al Cliente,Chatbots Para Servicio Al Cliente,
7914,Plataforma de Chatbots y Asistentes Virtuales,Atención al Cliente,Chatbots Y Asistentes Virtuales,
7937,Optimización de Estrategias de Servicio al Cliente,Atención al Cliente,Optimización De Servicio,
7945,Soporte Técnico Especializado,Atención al Cliente,Soporte Técnico Especializado,
7947,Automatización de Servicio al Cliente,Atención al Cliente,Automatización Del Servicio Al Cliente,
7957,Plataforma de Gestión de Reclamos y Servicio al Cliente,Atención al Cliente,Gestión Eficiente De Reclamos,
7999,Enrutamiento Inteligente de Tickets,Atención al Cliente,Solución De Enrutamiento Inteligente De Tickets Con Ia,
8001,Generación de Respuestas con IA,Atención al Cliente,Solución De Generación De Respuestas Con Ia,
8016,Mantenimiento preventivo,Atención al Cliente,Revisión Y Mantenimiento Preventivo De Equipos.,
8017,Actualización de software,Atención al Cliente,Actualización De Software Y Parches De Seguridad.,
8020,Atención Al Cliente,Atención al Cliente,Servicios De Atención Y Soporte Al Cliente.,
8067,Servicios de gestión de la experiencia del cliente,Atención al Cliente,Servicios De Consultoría Y Ejecución De Programas De Gestión De La Experiencia Del Cliente.,
8088,Desarrollo de chatbots y asistentes virtuales,Atención al Cliente,Servicios De Creación De Soluciones De Chatbots Y Asistentes Virtuales Para Mejorar La Experiencia Del Usuario.,
8099,Servicios de soporte y mantenimiento de TI,Atención al Cliente,Servicios De Soporte Y Administración De La Infraestructura Y Aplicaciones Tecnológicas.,
8103,Servicios de desarrollo de chatbots y asistentes virtuales,Atención al Cliente,Servicios De Creación De Soluciones De Automatización De Atención Al Cliente Y Asistencia Virtual.,
8221,Mantenimiento y soporte IT,Atención al Cliente,Servicios De Mantenimiento Y Soporte Técnico Para Infraestructura Y Sistemas Informáticos.,
8238,Chatbot de Atención al Cliente: Automatiza tus consultas y mejora la experiencia de tus clientes,Atención al Cliente,"Chatbot de Atención al Cliente: Automatiza consultas, mejora la experiencia del cliente. Responde 24/7, personalizable, multicanal. Mejora la experiencia, aumenta ventas, reduce costos, fortalece la marca.",
8246,Implementación de Chatbot para E-commerce: Mejora la Experiencia del Usuario y Dispara las Conversiones,Atención al Cliente,"Implementación de Chatbot para E-commerce: Mejora la experiencia del usuario, aumenta las conversiones y optimiza las operaciones.",
8260,Servicio de Chatbot: Automatiza tu atención al cliente y mejora la experiencia del usuario,Atención al Cliente,"Servicio de implementación de chatbot para e-commerce: mejora la experiencia del cliente, aumenta las conversiones y reduce costos.",
8282,Servicio de Implementación de Chatbot para Ecommerce: Mejora la Experiencia del Cliente y Automatiza las Consultas,Atención al Cliente,"Servicio de Implementación de Chatbot para Ecommerce: Mejora la experiencia del cliente, aumenta las ventas y optimiza las operaciones.",
8290,"Servicio de Desarrollo de Chatbot para Atención al Cliente: Mejora la Experiencia, Reduce Tiempos de Respuesta",Atención al Cliente,"Servicio de Desarrollo de Chatbot para Atención al Cliente: Mejora la atención, reduce tiempos de respuesta",
8296,Servicio de Gestión de Reseñas y Opiniones: Mejora la Confianza y Optimiza tu E-commerce,Atención al Cliente,"Servicio de Gestión de Reseñas y Opiniones para Ecommerce: recopila, modera, analiza y responde a reseñas para aumentar la confianza, mejorar la experiencia del cliente, optimizar productos y servicios, impulsar las vent",
8348,Chatbots para Ecommerce: Atención al cliente mejorada y ventas aumentadas,Atención al Cliente,Chatbots para Ecommerce: Mejoran la atención al cliente y aumentan las ventas,
8351,Gestión de Reseñas y Feedback: Construye Confianza y Mejora tu Reputación Online,Atención al Cliente,"Herramienta de gestión de reseñas y feedback para e-commerce que recopila, analiza y responde a las opiniones de los clientes, brindando información valiosa para el crecimiento del negocio.",
8363,Servicio de Atención al Cliente para Ecommerce: Potenciá tu Negocio Online con Experiencias de Compra Excepcionales,Atención al Cliente,Servicio de Atención al Cliente para Ecommerce: Soluciones para potenciar tu negocio online.,
